team,coach,source,career_ncaa_pre,career_s16_pre,career_ff_pre,career_titles_pre,school_ncaa_pre,school_s16_pre,school_ff_pre,school_titles_pre,coach_resume_points_pre,coach_tourney_score
Kennesaw St.,Amir Abdur-Rahim,sports_reference_2022_coaches,0,0,0,0,0,0,0,0,0,0.2452
Lipscomb,Lennie Acuff,sports_reference_2022_coaches,0,0,0,0,0,0,0,0,0,0.2452
Texas Tech,Mark Adams,sports_reference_2022_coaches,0,0,0,0,0,0,0,0,0,0.2452
McNeese St.,John Aiken,sports_reference_2022_coaches,0,0,0,0,0,0,0,0,0,0.2452
Longwood,Griff Aldrich,sports_reference_2022_coaches,0,0,0,0,0,0,0,0,0,0.2452
Belmont,Casey Alexander,sports_reference_2022_coaches,1,0,0,0,0,0,0,0,1,0.5603
Nevada,Steve Alford,sports_reference_2022_coaches,11,4,0,0,0,0,0,0,19,0.9356
Army,Jimmy Allen,sports_reference_2022_coaches,0,0,0,0,0,0,0,0,0,0.2452
Oregon,Dana Altman,sports_reference_2022_coaches,15,5,1,0,7,5,1,0,29,0.9589
Harvard,Tommy Amaker,sports_reference_2022_coaches,5,1,0,0,4,0,0,0,7,0.863
St. John's,Mike Anderson Sr,sports_reference_2022_coaches,9,2,0,0,0,0,0,0,13,0.9096
Rider,Kevin Baggett,sports_reference_2022_coaches,0,0,0,0,0,0,0,0,0,0.2452
Arkansas State,Mike Balado,sports_reference_2022_coaches,0,0,0,0,0,0,0,0,0,0.2452
Milwaukee,Pat Baldwin,sports_reference_2022_coaches,0,0,0,0,0,0,0,0,0,0.2452
Florida International,Jeremy Ballard,sports_reference_2022_coaches,0,0,0,0,0,0,0,0,0,0.2452
Central Michigan,Tony Barbee,sports_reference_2022_coaches,1,0,0,0,0,0,0,0,1,0.5603
Tennessee,Rick Barnes,sports_reference_2022_coaches,25,7,1,0,3,1,0,0,43,0.9726
Cal State Bakersfield,Rod Barnes,sports_reference_2022_coaches,4,1,0,0,1,0,0,0,6,0.8397
SIU Edwardsville,Brian Barone,sports_reference_2022_coaches,0,0,0,0,0,0,0,0,0,0.2452
Maine,Jai Steadman,sports_reference_2022_coaches,0,0,0,0,0,0,0,0,0,0.2452
Western Michigan,Clayton Bates,sports_reference_2022_coaches,0,0,0,0,0,0,0,0,0,0.2452
The Citadel,Duggar Baucom,sports_reference_2022_coaches,0,0,0,0,0,0,0,0,0,0.2452
Texas,Chris Beard,sports_reference_2022_coaches,4,2,1,0,0,0,0,0,12,0.9027
Vermont,John Becker,sports_reference_2022_coaches,3,0,0,0,3,0,0,0,3,0.7452
Saint Mary's,Randy Bennett,sports_reference_2022_coaches,7,1,0,0,7,1,0,0,9,0.8836
Virginia,Tony Bennett,sports_reference_2022_coaches,10,4,1,1,8,3,1,1,30,0.9616
Howard,Kenneth Blakeney,sports_reference_2022_coaches,0,0,0,0,0,0,0,0,0,0.2452
Ohio,Jeff Boals,sports_reference_2022_coaches,1,0,0,0,1,0,0,0,1,0.5603
Syracuse,Jim Boeheim,sports_reference_2022_coaches,35,20,5,1,35,20,5,1,103,0.9973
Central Arkansas,Anthony Boone,sports_reference_2022_coaches,0,0,0,0,0,0,0,0,0,0.2452
Colorado,Tad Boyle,sports_reference_2022_coaches,5,0,0,0,5,0,0,0,5,0.8096
Oklahoma St.,Michael Boynton,sports_reference_2022_coaches,1,0,0,0,1,0,0,0,1,0.5603
Arkansas-Pine Bluff,Solomon Bozeman,sports_reference_2022_coaches,0,0,0,0,0,0,0,0,0,0.2452
St. Francis NY,Glenn Braica,sports_reference_2022_coaches,0,0,0,0,0,0,0,0,0,0.2452
American,Mike Brennan,sports_reference_2022_coaches,1,0,0,0,1,0,0,0,1,0.5603
Jackson State,Wayne Brent,sports_reference_2022_coaches,0,0,0,0,0,0,0,0,0,0.2452
Notre Dame,Mike Brey,sports_reference_2022_coaches,14,3,0,0,12,3,0,0,20,0.9411
Morgan State,Kevin Broadus,sports_reference_2022_coaches,1,0,0,0,0,0,0,0,1,0.5603
Lamar,Alvin Brooks,sports_reference_2022_coaches,0,0,0,0,0,0,0,0,0,0.2452
Wichita St.,Isaac Brown,sports_reference_2022_coaches,1,0,0,0,1,0,0,0,1,0.5603
